driverId,teamDeltaAvg,teamDeltaNormAvg,teamDeltaSum,teamDeltaNormSum,driverRef,avgWins,avgPoints,totalWins,totalPoints,avgWinsNorm,avgPointsNorm
45,,,0.0,0.0,pantano,,,,,,
46,,,0.0,0.0,bruni,,,,,,
47,,,0.0,0.0,baumgartner,,,,,,
51,,,0.0,0.0,wilson,,,,,,
52,,,0.0,0.0,firman,,,,,,
53,,,0.0,0.0,kiesa,,,,,,
54,,,0.0,0.0,burti,,,,,,
58,,,0.0,0.0,marques,,,,,,
59,,,0.0,0.0,bernoldi,,,,,,
61,,,0.0,0.0,enge,,,,,,
62,,,0.0,0.0,yoong,,,,,,
72,,,0.0,0.0,sarrazin,,,,,,
73,,,0.0,0.0,rosset,,,,,,
74,,,0.0,0.0,tuero,,,,,,
80,,,0.0,0.0,sospiri,,,,,,
82,,,0.0,0.0,fontana,,,,,,
85,,,0.0,0.0,montermini,,,,,,
86,,,0.0,0.0,lavaggi,,,,,,
89,,,0.0,0.0,inoue,,,,,,
93,,,0.0,0.0,schiattarella,,,,,,
96,,,0.0,0.0,boullion,,,,,,
97,,,0.0,0.0,papis,,,,,,
98,,,0.0,0.0,deletraz,,,,,,
99,,,0.0,0.0,tarquini,,,,,,
101,,,0.0,0.0,brabham,,,,,,
106,,,0.0,0.0,beretta,,,,,,
107,,,0.0,0.0,ratzenberger,,,,,,
108,,,0.0,0.0,belmondo,,,,,,
111,,,0.0,0.0,gounon,,,,,,
112,,,0.0,0.0,alliot,,,,,,
113,,,0.0,0.0,adams,,,,,,
114,,,0.0,0.0,dalmas,,,,,,
115,,,0.0,0.0,noda,,,,,,
116,,,0.0,0.0,lagorce,,,,,,
120,,,0.0,0.0,barbazza,,,,,,
121,,,0.0,0.0,andretti,,,,,,
124,,,0.0,0.0,apicella,,,,,,
125,,,0.0,0.0,naspetti,,,,,,
126,,,0.0,0.0,toshio_suzuki,,,,,,
128,,,0.0,0.0,poele,,,,,,
129,,,0.0,0.0,grouillard,,,,,,
130,,,0.0,0.0,chiesa,,,,,,
132,,,0.0,0.0,amati,,,,,,
134,,,0.0,0.0,bertaggia,,,,,,
135,,,0.0,0.0,mccarthy,,,,,,
136,,,0.0,0.0,lammers,,,,,,
141,,,0.0,0.0,bailey,,,,,,
142,,,0.0,0.0,chaves,,,,,,
143,,,0.0,0.0,bartels,,,,,,
144,,,0.0,0.0,hattori,,,,,,
146,,,0.0,0.0,schneider,,,,,,
147,,,0.0,0.0,barilla,,,,,,
148,,,0.0,0.0,foitek,,,,,,
149,,,0.0,0.0,langes,,,,,,
150,,,0.0,0.0,gary_brabham,,,,,,
156,,,0.0,0.0,palmer,,,,,,
157,,,0.0,0.0,danner,,,,,,
